transaction_id,user_id,date,merchant,amount,category,persona,is_anomaly
320a2fc14f0743658abd076c124066c3,user_55d583c9,2025-08-24T13:27:05.845592,Trader Joe's,7.05,Food,The Partier,False
275c4e88deec4bd29dfd3170b6f1a869,user_55d583c9,2025-08-24T13:27:05.845592,Subway,28.50,Food,The Partier,False
de6cbf23d743428595e14367dd92158e,user_55d583c9,2025-08-24T13:27:05.845592,Spotify,20.65,Entertainment,The Partier,False
0a268d146e7d40a294aaeffdf50b212e,user_55d583c9,2025-08-24T13:27:05.845592,Trader Joe's,15.92,Food,The Partier,False
a9abdb2fdd4241a6a5d8645ec52111b5,user_55d583c9,2025-08-25T13:27:05.845592,Target,159.51,Shopping,The Partier,False
d303100b048e48788ab86c16d0fdc6bd,user_55d583c9,2025-08-25T13:27:05.845592,Trader Joe's,7.17,Food,The Partier,False
fd7a8ed39a6c4d7fa522938c21cfef79,user_55d583c9,2025-08-26T13:27:05.845592,Netflix,98.68,Entertainment,The Partier,False
44eb29246a274c5591482726b7f9cdaa,user_55d583c9,2025-08-27T13:27:05.845592,Chevron,47.84,Transportation,The Partier,False
3aab3546f82848e89719d31a99c4aa97,user_55d583c9,2025-08-27T13:27:05.845592,Apple Store,93.17,Shopping,The Partier,False
a8db43f1cba34beba882549c407b5386,user_55d583c9,2025-08-27T13:27:05.845592,Nike,123.78,Shopping,The Partier,False
985d4c4e24824171b1e2e5491be949e5,user_55d583c9,2025-08-28T13:27:05.845592,Local Bar,13.07,Entertainment,The Partier,False
c6f4998a88cf46a7be4094aab4aa6922,user_55d583c9,2025-08-29T13:27:05.845592,Spotify,89.22,Entertainment,The Partier,False
953814b390f84deba63fe9c2a8c28340,user_55d583c9,2025-08-29T13:27:05.845592,Best Buy,56.45,Shopping,The Partier,False
8ef6063dd6074bd5b5652057e22447f2,user_55d583c9,2025-08-30T13:27:05.845592,Netflix,224.51,Entertainment,The Partier,True
5c34fca015424e9c9110819c2f0203ef,user_55d583c9,2025-08-30T13:27:05.845592,Apple Store,123.92,Shopping,The Partier,False
f8c1ac0d99f2401cbf2082e9972de03a,user_55d583c9,2025-08-30T13:27:05.845592,AMC Theaters,83.33,Entertainment,The Partier,False
26feaa061ed04a17a31c7634b2857ab0,user_55d583c9,2025-08-30T13:27:05.845592,Steam Games,29.15,Entertainment,The Partier,False
b3d8d1d0a6a5463e9a75d4d116a70525,user_55d583c9,2025-08-30T13:27:05.845592,Chipotle,10.84,Food,The Partier,False
bfc733dd0b224462925d63cb79e5cfad,user_55d583c9,2025-08-31T13:27:05.845592,DoorDash,38.77,Food,The Partier,False
ae7aa8f0b3f74dfa9e573855837c81d0,user_55d583c9,2025-08-31T13:27:05.845592,Whole Foods,26.16,Food,The Partier,False
356c7597620347439ec6d28c0062be9a,user_55d583c9,2025-08-31T13:27:05.845592,Lyft,26.70,Transportation,The Partier,False
87f362c26f1d4a6baab4a2c417031c8c,user_55d583c9,2025-08-31T13:27:05.845592,Netflix,585.16,Entertainment,The Partier,True
72bbbc42308c4d0e918e0e95cc1e92b5,user_55d583c9,2025-09-01T13:27:05.845592,Starbucks,17.75,Food,The Partier,False
3bd5d970bfbe462ca9d9f0e805984ae5,user_55d583c9,2025-09-01T13:27:05.845592,Netflix,44.09,Entertainment,The Partier,False
5f2faf14b6b0479bbfd82990abbab26f,user_55d583c9,2025-09-01T13:27:05.845592,DoorDash,5.69,Food,The Partier,False
7a7bc475a4e041398fa57b5e96794789,user_55d583c9,2025-09-02T13:27:05.845592,AMC Theaters,16.64,Entertainment,The Partier,False
6e5a20f5d2f64eb1b1928cea841df8a1,user_55d583c9,2025-09-03T13:27:05.845592,Lime Scooter,28.37,Transportation,The Partier,False
46198c4725bd4c2b9f8bdd96260f64d3,user_55d583c9,2025-09-03T13:27:05.845592,Subway,36.19,Food,The Partier,False
452a28c791034c3d9bc8948d063a6be1,user_55d583c9,2025-09-03T13:27:05.845592,Chipotle,21.57,Food,The Partier,False
06e3d62c74f9477eaa67a5977b4d0e14,user_55d583c9,2025-09-03T13:27:05.845592,Starbucks,20.78,Food,The Partier,False
ae07a4750ec448edb75b97e70cbea5fe,user_55d583c9,2025-09-03T13:27:05.845592,Lime Scooter,27.34,Transportation,The Partier,False
5c52681050ca49ae9805862e21476183,user_55d583c9,2025-09-04T13:27:05.845592,Starbucks,23.55,Food,The Partier,False
a439b653b9e141259122a00d9eaeab77,user_55d583c9,2025-09-04T13:27:05.845592,Subway,28.43,Food,The Partier,False
d8e18511ab2b4838a1a5d617f54a13e4,user_55d583c9,2025-09-05T13:27:05.845592,Lime Scooter,24.64,Transportation,The Partier,False
582a8759cfb74ee1adc40c9fd67c4acf,user_55d583c9,2025-09-05T13:27:05.845592,Whole Foods,32.85,Food,The Partier,False
8c3c4da46b1a46c18c05061a97fd4784,user_55d583c9,2025-09-06T13:27:05.845592,Apple Store,57.78,Shopping,The Partier,False
460d6e8597d14e81949367a6a3da57de,user_55d583c9,2025-09-06T13:27:05.845592,Best Buy,70.48,Shopping,The Partier,False
de847a54bae348c2a1cfcbcee2ca98fa,user_55d583c9,2025-09-06T13:27:05.845592,PlayStation Network,67.04,Entertainment,The Partier,False
95aaae94825945038eb0e5c7f809ff75,user_55d583c9,2025-09-06T13:27:05.845592,MTA Kiosk,40.81,Transportation,The Partier,False
186a16659c3e4344872e22fbc74695b8,user_55d583c9,2025-09-06T13:27:05.845592,Starbucks,32.44,Food,The Partier,False
c46983ada72c4d73a0e2846b235bfb28,user_55d583c9,2025-09-07T13:27:05.845592,DoorDash,13.03,Food,The Partier,False
01ed4abd3ada43749839a32504415d0e,user_55d583c9,2025-09-07T13:27:05.845592,Amazon,122.56,Shopping,The Partier,False
e261afad35a84402980288862aaa0eb8,user_55d583c9,2025-09-07T13:27:05.845592,Netflix,16.70,Entertainment,The Partier,False
a759e2cdd0fd4e23a5c2eed11c0b11d1,user_55d583c9,2025-09-08T13:27:05.845592,Lime Scooter,53.95,Transportation,The Partier,False
2f6e350e4e254d48bce3ce062a452fca,user_55d583c9,2025-09-09T13:27:05.845592,Apple Store,169.04,Shopping,The Partier,False
14ab4951161d4139b5b4f61a605a8044,user_55d583c9,2025-09-09T13:27:05.845592,Uber,52.68,Transportation,The Partier,False
c8d05732f3234e3394b66e4ff45fe19b,user_55d583c9,2025-09-09T13:27:05.845592,Lyft,59.35,Transportation,The Partier,False
eea62bce9dff460bb4ad7f51fb733767,user_55d583c9,2025-09-09T13:27:05.845592,Lyft,13.42,Transportation,The Partier,False
c3d249e0a0bb4673991ae3fcd44370aa,user_55d583c9,2025-09-10T13:27:05.845592,MTA Kiosk,53.33,Transportation,The Partier,False
a73bf5ebc43644dc9a07f8586c7f9f6b,user_55d583c9,2025-09-10T13:27:05.845592,Walmart,87.14,Shopping,The Partier,False
f5af686a882f49ae873990e69fc6bd5f,user_55d583c9,2025-09-10T13:27:05.845592,Whole Foods,29.66,Food,The Partier,False
ff43a567a07c4b75b33f4ff3278ef029,user_55d583c9,2025-09-10T13:27:05.845592,McDonalds,35.66,Food,The Partier,False
d0696b8aae3a470aaad7edc320b8ef54,user_55d583c9,2025-09-10T13:27:05.845592,Netflix,86.01,Entertainment,The Partier,False
cf5dcba1fd314b2ba708d3381240e8a4,user_55d583c9,2025-09-11T13:27:05.845592,Lime Scooter,33.95,Transportation,The Partier,False
bcd36731fc8a48b08a8111b2b92c74ff,user_55d583c9,2025-09-12T13:27:05.845592,Trader Joe's,34.47,Food,The Partier,False
fd16ce59c954404d84b074d1a74f1768,user_55d583c9,2025-09-12T13:27:05.845592,AMC Theaters,65.31,Entertainment,The Partier,False
278da65f6aa64b86aca2ae911251c1ad,user_55d583c9,2025-09-12T13:27:05.845592,Trader Joe's,21.82,Food,The Partier,False
8948737070394d378e7abfc6660cdbb2,user_55d583c9,2025-09-13T13:27:05.845592,DoorDash,25.88,Food,The Partier,False
63497120c4214ec886d149a546190011,user_55d583c9,2025-09-14T13:27:05.845592,Uber,53.18,Transportation,The Partier,False
ccfe450417ff415eb56b4bdb5472cf3b,user_55d583c9,2025-09-14T13:27:05.845592,DoorDash,9.50,Food,The Partier,False
